guid,Country,Country:de,Country:es,Country:fr,Country:nb,"Country info","Country info:de","Country info:es","Country info:fr","Country info:nb",Capital,Capital:de,Capital:es,Capital:fr,Capital:nb,"Capital info","Capital info:de","Capital info:es","Capital info:fr","Capital info:nb","Capital hint","Capital hint:de","Capital hint:es","Capital hint:fr","Capital hint:nb",Flag,"Flag similarity","Flag similarity:de","Flag similarity:es","Flag similarity:fr","Flag similarity:nb",Map,tags

mCh>s18~IX,"Pitcairn Islands",Pitcairninseln,"Islas Pitcairn","Îles Pitcairn",Pitcairnøyene,"Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Oversjøisk britisk territorium.",Adamstown,Adamstown,Adamstown,Adamstown,Adamstown,,,,,,,,,,,"<img src=""ug-flag-pitcairn_islands.svg"" />",,,,,,"<img src=""ug-map-pitcairn_islands.png"" />",UG::Oceania
mvNnHkGnVl,"Cocos (Keeling) Islands",Kokosinseln,"Islas Cocos","Îles Cocos",Kokosøyene,"External territory of Australia.","Australisches Außengebiet.","Territorio externo de Australia.","Territoire extérieur australien.","Australsk territorium.","West Island","West Island","West Island","West Island","West Island",,,,,,,,,,,"<img src=""ug-flag-cocos_islands.svg"" />",,,,,,"<img src=""ug-map-cocos_islands.png"" />","UG::Asia UG::Southeast_Asia"
nN<IGBxnX.,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,"Dependent territory of New Zealand. Tokelau has no official capital; the meeting place of the Tokelau Council rotates annually.","Von Neuseeland abhängiges Gebiet. Tokelau hat keine offizielle Hauptstadt; der Treffpunkt des Tokelauer Rates wechselt jährlich.","Territorio dependiente de Nueva Zelanda. Tokelau no tiene capital oficial; el sitio de encuentro del Consejo de Tokelau rota anualmente.","Territoire dépendant de la Nouvelle-Zélande. La capitale, de même que la présidence du Conseil permanent du Gouvernement, tournent entre les trois atolls.","Newzealandsk territorium.",,,,,,,,,,,,,,,,"<img src=""ug-flag-tokelau.svg"" />",,,,,,"<img src=""ug-map-tokelau.png"" />",UG::Oceania
k3]]2^DP1R,"Christmas Island",Weihnachtsinsel,"Isla de Navidad","Île Christmas",Christmasøya,"External territory of Australia.","Australisches Außengebiet.","Territorio externo de Australia.","Territoire extérieur australien.","Australsk territorium. ","Flying Fish Cove","Flying Fish Cove","Flying Fish Cove","Flying Fish Cove","Flying Fish Cove",,,,,,,,,,,"<img src=""ug-flag-christmas_island.svg"" />",,,,,,"<img src=""ug-map-christmas_island.png"" />","UG::Asia UG::Southeast_Asia"
nipI.lOoC;,"Norfolk Island",Norfolkinsel,"Isla Norfolk","Île Norfolk",Norfolkøya,"External territory of Australia.","Außengebiet von Australien.","Territorio externo de Australia.","Territoire extérieur australien.","Selvstyrt australsk territorium.",Kingston,Kingston,Kingston,Kingston,Kingston,,,,,,"Not a sovereign country","Kein souveräner Staat","No es un país soberano","Pas une nation souveraine","Ikke selvstendig land","<img src=""ug-flag-norfolk_island.svg"" />",,,,,,"<img src=""ug-map-norfolk_island.png"" />",UG::Oceania
iq7o#n0juD,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,"Overseas territory of the United Kingdom.","Überseegebiet des Vereinigten Königreichs.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Britisk oversjøisk territorium i Karibia.",Brades,Brades,Brades,Brades,Brades,"Eruptions in 1997 destroyed the capital city of Plymouth, making Brades the de facto capital.","Nach einer Reihe von Vulkanausbrüchen wurde die eigentliche Hauptstadt Plymouth 1997 aufgegeben und Brades zur de-facto-Hauptstadt.","Las erupciones de 1997 destruyeron la capital de Plymouth, haciendo Brades la capital de facto.","Des éruptions en 1997 ont détruit la capitale Plymouth, faisant de Brades la capitale de fait.","Vulkanutbrudd i 1997 ødela hovedstaden Plymouth, og Brades ble de facto hovedstad.",,,,,,"<img src=""ug-flag-montserrat.svg"" />",,,,,,"<img src=""ug-map-montserrat.png"" />","UG::Caribbean UG::North_America"
khTp#J9C!!,"Saint Helena","St. Helena","Santa Helena",Sainte-Hélène,"Sankt Helena","Part of Saint Helena, Ascension and Tristan da Cunha, an overseas territory of the United Kingdom.","Teil von St. Helena, Ascension und Tristan da Cunha, einem Überseegebiet des Vereinigten Königreichs.","Parte de Santa Elena, Ascensión y Tristán de Acuña, un territorio de ultramar del Reino Unido.","Fait partie de Sainte-Hélène, Ascension et Tristan da Cunha, un territoire britannique d'outre-mer.","Del av det britiske oversjøiske territoriet Sankt Helena, Ascencion og Tristan da Cunha.",Jamestown,Jamestown,Jamestown,Jamestown,Jamestown,,,,,,,,,,,"<img src=""ug-flag-saint_helena.png"" />",,,,,,"<img src=""ug-map-saint_helena.png"" />","UG::Africa UG::West_Africa"
ga97y4Zy0{,"Saint Barthélemy",Saint-Barthélemy,"San Bartolomé",Saint-Barthélemy,Saint-Barthélemy,"Overseas territory of France.","Französisches Überseegebiet.","Territorio de ultramar de Francia.","Collectivité française d'outre-mer.","Fransk oversjøisk land.",Gustavia,Gustavia,Gustavia,Gustavia,Gustavia,,,,,,,,,,,,,,,,,"<img src=""ug-map-saint_barthelemy.png"" />","UG::Caribbean UG::North_America"
"rHh8*,y.yc",Ceuta,Ceuta,Ceuta,Ceuta,Ceuta,"Autonomous city of Spain.","Autonome spanische Stadt.","Ciudad autónoma de España.","Ville autonome d’Espagne.","Selvstyrt by i Spania.",,,,,,,,,,,,,,,,"<img src=""ug-flag-ceuta.png"" />",,,,,,"<img src=""ug-map-ceuta.png"" />",UG::Europe
