File,Source,License,Modifications
ug-flag-american_samoa.svg,https://commons.wikimedia.org/wiki/File:Flag_of_American_Samoa.svg,PD,
ug-flag-anguilla.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Anguilla.svg,CC0 1.0,
ug-flag-azores.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Azores.svg,PD,
ug-flag-bali.png,https://commons.wikimedia.org/wiki/File:Flag_of_Bali.svg,PD,
ug-flag-bali-blur.png,https://commons.wikimedia.org/wiki/File:Flag_of_Bali.svg,PD,Inkscape Gaussian blur of 3.5
ug-flag-bermuda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bermuda.svg,PD,
ug-flag-bonaire.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bonaire.svg,PD,
ug-flag-british_indian_ocean_territory.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_British_Indian_Ocean_Territory.svg,CC0 1.0,
ug-flag-british_virgin_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_British_Virgin_Islands.svg,CC0 1.0,
ug-flag-canary_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Canary_Islands.svg,PD,
ug-flag-cayman_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Cayman_Islands.svg,PD,
ug-flag-ceuta.png,https://commons.wikimedia.org/wiki/File:Flag_Ceuta.svg,CC BY-SA 4.0,
ug-flag-christmas_island.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Christmas_Island.svg,PD,
ug-flag-cocos_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cocos_Islands.svg,PD,
ug-flag-corsica.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Corsica.svg,CC0 1.0,
ug-flag-easter_island.svg,"https://commons.wikimedia.org/wiki/File:Flag_of_Rapa_Nui,_Chile.svg",PD,
ug-flag-falkland_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Falkland_Islands.svg,CC0 1.0,
ug-flag-galapagos_islands.svg,https://commons.wikimedia.org/wiki/File:Bandera_Provincia_Gal%C3%A1pagos.svg,PD,
ug-flag-gibraltar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Gibraltar.svg,PD,
ug-flag-guernsey.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guernsey.svg,CC0 1.0,
ug-flag-isle_of_man.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Isle_of_Man.svg,CC0 1.0,
ug-flag-jersey.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Jersey.svg,PD,
ug-flag-kaliningrad_oblast.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kaliningrad_Oblast.svg,PD,
ug-flag-madeira.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Madeira.svg,CC BY-SA 1.0,
ug-flag-melilla.png,https://commons.wikimedia.org/wiki/File:Flag_of_Melilla.svg,CC BY-SA 3.0,
ug-flag-montserrat.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Montserrat.svg,CC0 1.0,
ug-flag-mount_athos.png,https://commons.wikimedia.org/wiki/File:Flag_of_Mount_Athos.svg,PD,
ug-flag-norfolk_island.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Norfolk_Island.svg,CC0 1.0,
ug-flag-northern_mariana_islands.png,https://commons.wikimedia.org/wiki/File:Flag_of_the_Northern_Mariana_Islands.svg,CC0 1.0,
