File,Source,License,Modifications
ug-flag-abkhazia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Republic_of_Abkhazia.svg,PD,
ug-flag-afghanistan.png,https://commons.wikimedia.org/wiki/File:Flag_of_Afghanistan.svg,PD,
ug-flag-aland_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Aland_Islands.svg,PD,
ug-flag-albania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Albania.svg,PD,
ug-flag-algeria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Algeria.svg,PD,
ug-flag-andorra.png,https://commons.wikimedia.org/wiki/File:Flag_of_Andorra.svg,PD,
ug-flag-angola.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Angola.svg,PD,
ug-flag-antigua_and_barbuda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Antigua_and_Barbuda.svg,PD,
ug-flag-argentina.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Argentina.svg,PD,
ug-flag-armenia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Armenia.svg,PD,
ug-flag-aruba.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Aruba.svg,PD,
ug-flag-australia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Australia.svg,PD,
ug-flag-austria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Austria.svg,PD,
ug-flag-azerbaijan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Azerbaijan.svg,PD,
ug-flag-bahrain.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bahrain.svg,PD,
ug-flag-bangladesh.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bangladesh.svg,PD,
ug-flag-barbados.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Barbados.svg,PD,
ug-flag-belarus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belarus.svg,PD,
ug-flag-belgium.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belgium.svg,PD,
ug-flag-belize.png,https://commons.wikimedia.org/wiki/File:Flag_of_Belize.svg,PD,
ug-flag-benin.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Benin.svg,PD,
ug-flag-bhutan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bhutan.svg,PD,
ug-flag-bolivia.png,https://commons.wikimedia.org/wiki/File:Flag_of_Bolivia_(state).svg,PD,
ug-flag-bolivia-blur.png,https://commons.wikimedia.org/wiki/File:Flag_of_Bolivia_(state).svg,PD,Inkscape Gaussian blur of 15
ug-flag-bosnia_and_herzegovina.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bosnia_and_Herzegovina.svg,PD,
ug-flag-botswana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Botswana.svg,PD,
ug-flag-brazil.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Brazil.svg,PD,
ug-flag-brunei.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Brunei.svg,CC0 1.0,
ug-flag-bulgaria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bulgaria.svg,PD,
ug-flag-burkina_faso.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Burkina_Faso.svg,PD,
ug-flag-burundi.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Burundi.svg,PD,
ug-flag-cambodia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cambodia.svg,PD,
ug-flag-cameroon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cameroon.svg,PD,
ug-flag-canada.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Canada.svg,PD,
ug-flag-cape_verde.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cape_Verde.svg,PD,
ug-flag-central_african_republic.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Central_African_Republic.svg,PD,
ug-flag-chad.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Chad.svg,PD,
ug-flag-chile.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Chile.svg,PD,
ug-flag-china.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_People%27s_Republic_of_China.svg,PD,
ug-flag-colombia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Colombia.svg,PD,
ug-flag-comoros.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Comoros.svg,PD,
ug-flag-cook_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cook_Islands.svg,PD,
ug-flag-costa_rica.png,https://commons.wikimedia.org/wiki/File:Flag_of_Costa_Rica_(state).svg,PD,
ug-flag-croatia.png,https://commons.wikimedia.org/wiki/File:Flag_of_Croatia.svg,PD,
ug-flag-cuba.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cuba.svg,PD,
ug-flag-curacao.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Curacao.svg,PD,
