guid,country,country:de,country:es,country:fr,country:nb,country info,country info:de,country info:es,country info:fr,country info:nb,capital,capital:de,capital:es,capital:fr,capital:nb,capital info,capital info:de,capital info:es,capital info:fr,capital info:nb,capital hint,capital hint:de,capital hint:es,capital hint:fr,capital hint:nb,flag,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,map,tags
e+/O]%*qfk,England,England,Inglaterra,Angleterre,England,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,London,London,Londres,Londres,London,,,,,,Not a sovereign country,Kein souveräner Staat,No es un país soberano,Pas une nation souveraine,Ikke selvstendig land,"<img src=""ug-flag-england.svg"" />",,,,,,"<img src=""ug-map-england.png"" />",UG::Europe
h~5xz+=ke~,Scotland,Schottland,Escocia,Écosse,Skottland,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Edinburgh,Edinburgh,Edimburgo,Édimbourg,Edinburgh,,,,,,,,,,,"<img src=""ug-flag-scotland.svg"" />",,,,,,"<img src=""ug-map-scotland.png"" />",UG::Europe
s9-GL*@AXD,United Kingdom,Vereinigtes Königreich,Reino Unido,Royaume-Uni,Storbritannia,,,,,Også kalt Det forente kongeriket Storbritannia og Nord-Irland.,London,London,Londres,Londres,London,,,,,,Sovereign country,Souveräner Staat,Es un país soberano,Nation souveraine,Selvstendig land,"<img src=""ug-flag-united_kingdom.svg"" />",,,,,,"<img src=""ug-map-united_kingdom.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
cPO|Cru8n<,Northern Ireland,Nordirland,Irlanda del Norte,Irlande du Nord,Nord-Irland,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Belfast,Belfast,Belfast,Belfast,Belfast,,,,,,,,,,,,,,,,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe
m*#%sE.`.;,France,Frankreich,Francia,France,Frankrike,,,,,,Paris,Paris,París,Paris,Paris,,,,,,,,,,,"<img src=""ug-flag-france.svg"" />",,,,,,"<img src=""ug-map-france.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
hNE9}>;Q&-,Wales,Wales,Gales,Pays de Galles,Wales,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,,,,,,,,,,,"<img src=""ug-flag-wales.svg"" />",,,,,,"<img src=""ug-map-wales.png"" />",UG::Europe
jN|NAUP*h},Georgia,Georgien,Georgia,Géorgie,Georgia,,,,,,Tbilisi,Tiflis,Tiflis,Tbilissi,Tbilisi,,,,,,,,,,,"<img src=""ug-flag-georgia.svg"" />",,,,,,"<img src=""ug-map-georgia.png"" />","UG::Europe, UG::Sovereign_State"
"j|z@PMgdx,",Germany,Deutschland,Alemania,Allemagne,Tyskland,,,,,,Berlin,Berlin,Berlín,Berlin,Berlin,,,,,,,,,,,"<img src=""ug-flag-germany.svg"" />",,,,,,"<img src=""ug-map-germany.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
n+t>2`:;P/,Greece,Griechenland,Grecia,Grèce,Hellas,,,,,,Athens,Athen,Atenas,Athènes,Aten,,,,,,,,,,,"<img src=""ug-flag-greece.svg"" />",,,,,,"<img src=""ug-map-greece.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
ilGtw#=asM,Greenland,Grönland,Groenlandia,Groenland,Grønland,Constituent country in the Kingdom of Denmark.,Autonomer Bestandteil des Königreichs Dänemark.,Nación constitutiva del Reino de Dinamarca.,Pays constitutif du royaume du Danemark.,Land som utgjør en del av kongeriket Danmark.,Nuuk,Nuuk,Nuuk,Nuuk,Nuuk,,,,,På dansk Godthåb.,,,,,,"<img src=""ug-flag-greenland.svg"" />",,,,,,"<img src=""ug-map-greenland.png"" />",UG::North_America
mcc&0Kq^xE,Hungary,Ungarn,Hungría,Hongrie,Ungarn,,,,,,Budapest,Budapest,Budapest,Budapest,Budapest,,,,,,,,,,,"<img src=""ug-flag-hungary.svg"" />",,,,,,"<img src=""ug-map-hungary.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
gz9${p}er*,Albania,Albanien,Albania,Albanie,Albania,,,,,,Tirana,Tirana,Tirana,Tirana,Tirana,,,,,,,,,,,"<img src=""ug-flag-albania.svg"" />",,,,,,"<img src=""ug-map-albania.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State"
