country,country:de,country:es,country:fr,country:nb,country:cs,country:ru,country:nl,country:sv,country:pt,country:zh,country:zh-tw,country:pl,country:it,country:da
England,England,Inglaterra,Angleterre,England,Anglie,Англия,Engeland,England,Inglaterra,英格兰(England),英格蘭 (England),Anglia,Inghilterra,England
Scotland,Schottland,Escocia,Écosse,Skottland,Skotsko,Шотландия,Schotland,Skottland,Escócia,苏格兰(Scotland),蘇格蘭 (Scotland),Szkocja,Scozia,Skotland
United Kingdom,Vereinigtes Königreich,Reino Unido,Royaume-Uni,Storbritannia,Spojené království,Великобритания,Verenigd Koninkrijk,Storbritannien,Reino Unido,英国(United Kingdom),英國 (United Kingdom),Wielka Brytania,Regno Unito,Storbritannien
Northern Ireland,Nordirland,Irlanda del Norte,Irlande du Nord,Nord-Irland,Severní Irsko,Северная Ирландия,Noord-Ierland,Nordirland,Irlanda do Norte,北爱尔兰(Northern Ireland),北愛爾蘭 (Northern Ireland),Irlandia Północna,Irlanda del Nord,Nordirland
France,Frankreich,Francia,France,Frankrike,Francie,Франция,Frankrijk,Frankrike,França,法国(France),法國 (France),Francja,Francia,Frankrig
Wales,Wales,Gales,Pays de Galles,Wales,Wales,Уэльс,Wales,Wales,País de Gales,威尔士(Wales),威爾斯 (Wales),Walia,Galles,Wales
Georgia,Georgien,Georgia,Géorgie,Georgia,Gruzie,Грузия,Georgië,Georgien,Geórgia,格鲁吉亚(Georgia),喬治亞 (Georgia),Gruzja,Georgia,Georgien
Germany,Deutschland,Alemania,Allemagne,Tyskland,Německo,Германия,Duitsland,Tyskland,Alemanha,德国(Germany),格國 (Germany),Niemcy,Germania,Tyskland
Greece,Griechenland,Grecia,Grèce,Hellas,Řecko,Греция,Griekenland,Grekland,Grécia,希腊(Greece),希臘 (Greece),Grecja,Grecia,Grækenland
Greenland,Grönland,Groenlandia,Groenland,Grønland,Grónsko,Гренландия,Groenland,Grönland,Groenlândia,格陵兰(Greenland),格陵蘭 (Greenland),Grenlandia,Groenlandia,Grønland
Hungary,Ungarn,Hungría,Hongrie,Ungarn,Maďarsko,Венгрия,Hongarije,Ungern,Hungria,匈牙利(Hungary),匈牙利 (Hungary),Węgry,Ungheria,Ungarn
Albania,Albanien,Albania,Albanie,Albania,Albánie,Албания,Albanië,Albanien,Albânia,阿尔巴尼亚(Albania),阿爾巴尼亞 (Albania),Albania,Albania,Albanien
Andorra,Andorra,Andorra,Andorre,Andorra,Andorra,Андорра,Andorra,Andorra,Andorra,安道尔(Andorra),安道爾 (Andorra),Andora,Andorra,Andorra
Austria,Österreich,Austria,Autriche,Østerrike,Rakousko,Австрия,Oostenrijk,Österrike,Áustria,奥地利(Austria),奧地利 (Austria),Austria,Austria,Østrig
Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan,Aserbajdsjan,Ázerbájdžán,Азербайджан,Azerbeidzjan,Azerbajdzjan,Azerbaijão,阿塞拜疆(Azerbaijan),亞塞拜然 (Azerbaijan),Azerbejdżan,Azerbaigian,Aserbajdsjan
Belarus,Belarus,Bielorrusia,Biélorussie,Belarus,Bělorusko,Беларусь,Wit-Rusland,Belarus,Bielorrúsia,白俄罗斯(Belarus),白俄羅斯 (Belarus),Białoruś,Bielorussia,Belarus
Belgium,Belgien,Bélgica,Belgique,Belgia,Belgie,Бельгия,België,Belgien,Bélgica,比利时(Belgium),比利時 (Belgium),Belgia,Belgio,Belgien
Bosnia and Herzegovina,Bosnien und Herzegowina,Bosnia y Herzegovina,Bosnie-Herzégovine,Bosnia-Hercegovina,Bosna a Hercegovina,Босния и Герцеговина,Bosnië en Herzegovina,Bosnien och Hercegovina,Bósnia e Herzegovina,波斯尼亚和黑塞哥维那(Bosnia and Herzegovina)，简称“波黑”,波士尼亞與赫塞哥維納 (Bosnia and Herzegovina),Bośnia i Hercegowina,Bosnia ed Erzegovina,Bosnien-Hercegovina
Bulgaria,Bulgarien,Bulgaria,Bulgarie,Bulgaria,Bulharsko,Болгария,Bulgarije,Bulgarien,Bulgária,保加利亚(Bulgaria),保加利亞 (Bulgaria),Bułgaria,Bulgaria,Bulgarien
Croatia,Kroatien,Croacia,Croatie,Kroatia,Chorvatsko,Хорватия,Kroatië,Kroatien,Croácia,克罗地亚(Croatia),克羅埃西亞 (Croatia),Chorwacja,Croazia,Kroatien
Czech Republic,Tschechien,República Checa,Tchéquie,Tsjekkia,Česko,Чешская Республика,Tsjechië,Tjeckien,"Tchéquia (BR), Chéquia (PT)",捷克共和国(Czech Republic),捷克 (Czech Republic),Czechy,Repubblica Ceca,Tjekkiet
Denmark,Dänemark,Dinamarca,Danemark,Danmark,Dánsko,Дания,Denemarken,Danmark,Dinamarca,丹麦(Denmark),丹麥 (Denmark),Dania,Danimarca,Danmark
Estonia,Estland,Estonia,Estonie,Estland,Estonsko,Эстония,Estland,Estland,"Estônia (BR), Estónia (PT)",爱沙尼亚(Estonia),愛沙尼亞 (Estonia),Estonia,Estonia,Estland
Faroe Islands,Färöer,Islas Feroe,Îles Féroé,Færøyene,Faerské ostrovy,Фарерские острова,Faeröer,Färöarna,Ilhas Faroé,法罗群岛(Faroe Islands),法羅群島 (Faroe Islands),Wyspy Owcze,Fær Øer,Færøerne
Finland,Finnland,Finlandia,Finlande,Finland,Finsko,Финляндия,Finland,Finland,Finlândia,芬兰(Finland),芬蘭 (Finland),Finlandia,Finlandia,Finland
Iceland,Island,Islandia,Islande,Island,Island,Исландия,IJsland,Island,Islândia,冰岛(Iceland),冰島 (Iceland),Islandia,Islanda,Island
Ireland,Irland,Irlanda,Irlande,Irland,Irsko,Ирландия,Ierland,Irland,Irlanda,爱尔兰(Ireland),愛爾蘭 (Ireland),Irlandia,Irlanda,Irland
Italy,Italien,Italia,Italie,Italia,Itálie,Италия,Italië,Italien,Itália,意大利(Italy),義大利 (Italy),Włochy,Italia,Italien
Latvia,Lettland,Letonia,Lettonie,Latvia,Lotyšsko,Латвия,Letland,Lettland,"Letônia (BR), Letónia (PT)",拉脱维亚(Latvia),拉脫維亞 (Latvia),Łotwa,Lettonia,Letland
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Lichtenštejnsko,Лихтенштейн,Liechtenstein,Liechtenstein,Liechtenstein,列支敦士登(Liechtenstein),列支敦斯登 (Liechtenstein),Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Litauen,Lituania,Lituanie,Litauen,Litva,Литва,Litouwen,Litauen,Lituânia,立陶宛(Lithuania),立陶宛 (Lithuania),Litwa,Lituania,Litauen
Luxembourg,Luxemburg,Luxemburgo,Luxembourg,Luxembourg,Lucembursko,Люксембург,Luxemburg,Luxemburg,Luxemburgo,卢森堡(Luxembourg),盧森堡 (Luxembourg),Luksemburg,Lussemburgo,Luxembourg
North Macedonia,Nordmazedonien,Macedonia del Norte,Macédoine du Nord,Nord-Makedonia,Severní Makedonie,Северная Македония,Noord-Macedonië,Nordmakedonien,"Macedônia do Norte (BR), Macedónia do Norte (PT)",北马其顿(North Macedonia),北馬其頓 (North Macedonia),Macedonia Północna,Macedonia del Nord,Nordmakedonien
Malta,Malta,Malta,Malte,Malta,Malta,Мальта,Malta,Malta,Malta,马耳他(Malta),馬爾他 (Malta),Malta,Malta,Malta
Moldova,Republik Moldau,Moldavia,Moldavie,Moldova,Moldavsko,Молдова,Moldavië,Moldavien,Moldávia,摩尔多瓦(Moldova),摩爾多瓦 (Moldova),Mołdawia,Moldavia,Moldova
Monaco,Monaco,Mónaco,Monaco,Monaco,Monako,Монако,Monaco,Monaco,"Mônaco (BR), Mónaco (PT)",摩纳哥(Monaco),摩納哥 (Monaco),Monako,Principato di Monaco,Monaco
Montenegro,Montenegro,Montenegro,Monténégro,Montenegro,Černá Hora,Черногория,Montenegro,Montenegro,Montenegro,黑山(Montenegro),蒙特內哥羅 (Montenegro),Czarnogóra,Montenegro,Montenegro
Netherlands,Niederlande,Países Bajos,Pays-Bas,Nederland,Nizozemsko,Нидерланды,Nederland,Nederländerna,Países Baixos,荷兰(Netherlands),荷蘭 (Netherlands),Holandia,Paesi Bassi,Nederlandene
Norway,Norwegen,Noruega,Norvège,Norge,Norsko,Норвегия,Noorwegen,Norge,Noruega,挪威(Norway),挪威 (Norway),Norwegia,Norvegia,Norge
Poland,Polen,Polonia,Pologne,Polen,Polsko,Польша,Polen,Polen,"Polônia (BR), Polónia (PT)",波兰(Poland),波蘭 (Poland),Polska,Polonia,Polen
Portugal,Portugal,Portugal,Portugal,Portugal,Portugalsko,Португалия,Portugal,Portugal,Portugal,葡萄牙(Portugal),葡萄牙 (Portugal),Portugalia,Portogallo,Portugal
Romania,Rumänien,Rumania,Roumanie,Romania,Rumunsko,Румыния,Roemenië,Rumänien,"Romênia (BR), Roménia (PT)",罗马尼亚(Romania),羅馬尼亞 (Romania),Rumunia,Romania,Rumænien
Russia,Russland,Rusia,Russie,Russland,Rusko,Россия,Rusland,Ryssland,Rússia,俄罗斯(Russia),俄羅斯 (Russia),Rosja,Russia,Rusland
San Marino,San Marino,San Marino,Saint-Marin,San Marino,San Marino,Сан-Марино,San Marino,San Marino,São Marinho,圣马力诺(San Marino),聖馬利諾 (San Marino),San Marino,San Marino,San Marino
Serbia,Serbien,Serbia,Serbie,Serbia,Srbsko,Сербия,Servië,Serbien,Sérvia,塞尔维亚(Serbia),塞爾維亞 (Serbia),Serbia,Serbia,Serbien
