country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:zh-tw,country info:pl,country info:it,country info:da
England,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Konstituční země Velké Británie.,"Страна, входящая в состав Великобритании.",Autonoom gebied binnen het Verenigd Koninkrijk.,Riksdel av Storbritannien.,País constituinte do Reino Unido.,英国属地之一。,英國的構成國。,Kraj stanowiący część Wielkiej Brytanii.,Nazione costitutiva del Regno Unito.,Delvis selvstyrende nation i Storbritannien.
Scotland,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Konstituční země Velké Británie.,"Страна, входящая в состав Великобритании.",Autonoom gebied binnen het Verenigd Koninkrijk.,Riksdel av Storbritannien.,País constituinte do Reino Unido.,英国属地之一。,英國的構成國。,Kraj stanowiący część Wielkiej Brytanii.,Nazione costitutiva del Regno Unito.,Delvis selvstyrende nation i Storbritannien.
United Kingdom,,,,,Også kalt Det forente kongeriket Storbritannia og Nord-Irland.,Známé též jako Velká Británie.,,,Formellt Förenade kungariket.,,,,Znana także jako Zjednoczone Królestwo.,,Officielt benævnt Det Forenede Kongerige Storbritannien og Nordirland.
Northern Ireland,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Konstituční země Velké Británie.,"Страна, входящая в состав Великобритании.",Autonoom gebied binnen het Verenigd Koninkrijk.,Riksdel av Storbritannien.,País constituinte do Reino Unido.,英国属地之一。,英國的構成國。,Kraj stanowiący część Wielkiej Brytanii.,Nazione costitutiva del Regno Unito.,Delvis selvstyrende nation i Storbritannien.
Wales,Constituent country of the United Kingdom.,Landesteil des Vereinigten Königreichs.,Nación constitutiva del Reino Unido.,Nation constitutive du Royaume-Uni.,Land som utgjør en del av Storbritannia.,Konstituční země Velké Británie.,"Страна, входящая в состав Великобритании.",Autonoom gebied binnen het Verenigd Koninkrijk.,Riksdel av Storbritannien.,País constituinte do Reino Unido.,英国属地之一。,英國的構成國。,Kraj stanowiący część Wielkiej Brytanii.,Nazione costitutiva del Regno Unito.,Delvis selvstyrende nation i Storbritannien.
Greenland,Constituent country in the Kingdom of Denmark.,Autonomer Bestandteil des Königreichs Dänemark.,Nación constitutiva del Reino de Dinamarca.,Pays constitutif du royaume du Danemark.,Land som utgjør en del av kongeriket Danmark.,Autonomní součást Dánského království.,"Страна, входящая в состав Королевства Дании.",Autonoom gebied binnen het Koninkrijk Denemarken.,Riksdel av Danmark.,País constituinte do Reino da Dinamarca.,丹麦属地之一。,丹麥的構成國。,Autonomiczne terytorium zależne Danii.,Nazione costitutiva del Regno di Danimarca.,Selvstyrende nation i Det Danske Rigsfællesskab.
Belarus,,Auch Weißrussland.,,,Tidligere kjent som Hviterussland. Utenriksdepartementet begynte å bruke navnet Belarus 29. mai 2022.,,,Ook bekend als Belarus.,Även känt som Vitryssland.,,,,,,Også kendt som Hviderusland. Udenrigsministeriet er begyndt at bruge betegnelsen Belarus i marts 2021.
Czech Republic,Also known as Czechia.,,También conocida como Chequia.,Aussi connue comme la  République tchèque.,,Používané časteji Česká republika.,Известна также как Чехия.,,,,也被称为捷克(Czechia)。,,,Conosciuta anche come Cechia.,
Faroe Islands,Constituent country in the Kingdom of Denmark.,Autonomer Bestandteil des Königreichs Dänemark.,Nación constitutiva del Reino de Dinamarca.,Pays constitutif du royaume du Danemark.,Land som utgjør en del av kongeriket Danmark.,Konstituční země Dánského království.,"Страна, входящая в состав Королевства Дании.",Autonoom gebied binnen het Koninkrijk Denemarken.,Riksdel av Danmark.,País constituinte do Reino da Dinamarca.,丹麦属地之一。,丹麥的構成國。,Autonomiczne terytorium zależne Danii.,Nazione costitutiva del Regno di Danimarca; conosciute anche come Isole Faroe.,Selvstyrende nation i Det Danske Rigsfællesskab.
Netherlands,,,,,,,,,,Conhecidos informalmente como Holanda.,现名尼德兰(Netherlands)，中文通译为荷兰(Holanda),,Znana także jako Niderlandy.,,Også kendt som Holland.
North Macedonia,Formerly known as Macedonia.,Früher bekannt als Mazedonien.,Anteriormente conocida como Macedonia.,Anciennement connue comme la Macédoine.,Tidligere Makedonia.,Dříve známá jako Makedonie.,Ранее известна как Македония.,Voorheen bekend als Macedonië.,Tidigare känt som Makedonien.,Anteriormente conhecida como Macedônia.,原名马其顿(Macedonia)。,舊稱馬其頓。,Dawniej znana jako Macedonia.,Precedentemente conosciuta come Macedonia.,Tidligere kendt som Makedonien.
Moldova,,Auch Moldawien.,,,,,,,,,,,,,
