country,capital,capital:de,capital:es,capital:fr,capital:nb
Abkhazia,Sukhumi,Sochumi,Sujumi,Soukhoumi,Sukhumi
Afghanistan,Kabul,Kabul,Kabul,Kaboul,Kabul
Albania,Tirana,Tirana,Tirana,Tirana,Tirana
Algeria,Algiers,Algier,Argel,Alger,Alger
Andorra,Andorra la Vella,Andorra la Vella,Andorra la Vieja,Andorre-la-Vieille,Andorra la Vella
Angola,Luanda,Luanda,Luanda,Luanda,Luanda
Antigua and Barbuda,St. John's,Saint John’s,Saint John,Saint John's,Saint John’s
Argentina,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires
Armenia,Yerevan,Jerewan,Ereván,Erevan,Jerevan
Aruba,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad
Australia,Canberra,Canberra,Canberra,Canberra,Canberra
Austria,Vienna,Wien,Viena,Vienne,Wien
Azerbaijan,Baku,Baku,Bakú,Bakou,Baku
Bahrain,Manama,Manama,Manama,Manama,Manama
Bangladesh,Dhaka,Dhaka,Daca,Dacca,Dhaka
Barbados,Bridgetown,Bridgetown,Bridgetown,Bridgetown,Bridgetown
Belarus,Minsk,Minsk,Minsk,Minsk,Minsk
Belgium,Brussels,Brüssel,Bruselas,Bruxelles,Brussel
Belize,Belmopan,Belmopan,Belmopán,Belmopan,Belmopan
Benin,Porto-Novo,Porto-Novo,Porto Novo,Porto-Novo,Porto-Novo
Bhutan,Thimphu,Thimphu,Timbu,Thimphou,Thimpu
Bolivia,Sucre,Sucre,Sucre,Sucre,Sucre
Bosnia and Herzegovina,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Sarajevo
Botswana,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone
Brazil,Brasília,Brasília,Brasilia,Brasilia,Brasilia
Brunei,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan
Bulgaria,Sofia,Sofia,Sofía,Sofia,Sofia
Burkina Faso,Ouagadougou,Ouagadougou (Wagadugu),Uagadugú,Ouagadougou,Ouagadougou
Burundi,Gitega,Gitega,Gitega,Gitega,Gitega
Cambodia,Phnom Penh,Phnom Penh,Nom Pen,Phnom Penh,Phnom Penh
Cameroon,Yaoundé,Yaoundé,Yaundé,Yaoundé,Yaoundé
Canada,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa
Cape Verde,Praia,Praia,Praia,Praia,Praia
Central African Republic,Bangui,Bangui,Bangui,Bangui,Bangui
Chad,N'Djamena,N’Djamena,Yamena,N'Djaména,Ndjamena
Chile,Santiago,Santiago de Chile,Santiago de Chile,Santiago,Santiago (de Chile)
China,Beijing,Peking,Pekín,Pékin,Beijing
