country,country:de,country:es,country:fr,country:nb
Abkhazia,Abchasien,Abjasia,Abkhazie,Abkhasia
Adriatic Sea,Adriatisches Meer,Mar Adriático,Mer Adriatique,Adriaterhavet
Aegean Sea,Ägäisches Meer,Mar Egeo,Mer Égée,Egeerhavet
Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan
Africa,Afrika,África,Afrique,Afrika
Akrotiri and Dhekelia,Akrotiri und Dekelia,Acrotiri y Dhekelia,Akrotiri et Dhekelia,Akrotiri og Dekelia
Alaska,Alaska,Alaska,Alaska,Alaska
Albania,Albanien,Albania,Albanie,Albania
Algeria,Algerien,Argelia,Algérie,Algerie
American Samoa,Amerikanisch-Samoa,Samoa Americana,Samoa américaines,Amerikansk Samoa
Andorra,Andorra,Andorra,Andorre,Andorra
Angola,Angola,Angola,Angola,Angola
Anguilla,Anguilla,Anguila,Anguilla,Anguilla
Antarctica,Antarktis,Antártida,Antarctique,Antarktis
Antigua and Barbuda,Antigua und Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,Antigua og Barbuda
Arabian Sea,Arabisches Meer,Mar arábigo,Mer d'Arabie,Det arabiske hav
Aral Sea,Aralsee,Mar de Aral,Mer d'Aral,Aralsjøen
Arctic Ocean,Arktischer Ozean,Océano Ártico,Océan Arctique,Nordishavet
Argentina,Argentinien,Argentina,Argentine,Argentina
Armenia,Armenien,Armenia,Arménie,Armenia
Aruba,Aruba,Aruba,Aruba,Aruba
Asia,Asien,Asia,Asie,Asia
Atlantic Ocean,Atlantischer Ozean,Océano Atlántico,Océan Atlantique,Atlanterhavet
Australia,Australien,Australia,Australie,Australia
Australia (Oceania),Australien (Ozeanien),Oceanía,Océanie,Oseania
Austria,Österreich,Austria,Autriche,Østerrike
Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan,Aserbajdsjan
Azores,Azoren (Habichtsinseln),Azores,Açores,Asorene
Bahrain,Bahrain,Baréin,Bahreïn,Bahrain
Bali,Bali,Bali,Bali,Bali
Balkan Peninsula,Balkanhalbinsel,Península balcánica,Balkans,Balkan
Baltic Sea,Ostsee,Mar Báltico,Mer Baltique,Østersjøen
Bangladesh,Bangladesch,Bangladés,Bangladesh,Bangladesh
Barbados,Barbados,Barbados,Barbade,Barbados
Bay of Bengal,Golf von Bengalen,Bahía de Bengala,Golfe du Bengale,Bengalbukta
Bay of Biscay,Biskaya,Golfo de Vizcaya,Golfe de Gascogne,Biscayabukta
Belarus,Weißrussland,Bielorrusia,Biélorussie,Hviterussland
Belgium,Belgien,Bélgica,Belgique,Belgia
Belize,Belize,Belice,Belize,Belize
Benin,Benin,Benín,Bénin,Benin
Bering Strait,Beringstraße,Estrecho de Bering,Détroit de Béring,Beringstredet
Bermuda,Bermuda,Bermudas,Bermudes,Bermuda
Bhutan,Bhutan,Bután,Bhoutan,Bhutan
Black Sea,Schwarzes Meer,Mar Negro,Mer Noire,Svartehavet
Bolivia,Bolivien,Bolivia,Bolivie,Bolivia
